Channel Id,Channel Url,Channel Title
UC5VYrVnw-v9UPN75q6ckGIg,http://www.youtube.com/channel/UC5VYrVnw-v9UPN75q6ckGIg,David Choi
UC5WUnL-oKyIHd2zD58a5knw,http://www.youtube.com/channel/UC5WUnL-oKyIHd2zD58a5knw,Meat Loaf
UC5h6ILk30hAqJikcgStn6uw,http://www.youtube.com/channel/UC5h6ILk30hAqJikcgStn6uw,GirlonDuty
UC5mvNA17loCKdhuIi-zhfbw,http://www.youtube.com/channel/UC5mvNA17loCKdhuIi-zhfbw,Miskinwolf
UC5sXnom8S8EyddkLLNjgONg,http://www.youtube.com/channel/UC5sXnom8S8EyddkLLNjgONg,William Strife
UC5yaRAqKKYYApdr326HQnsg,http://www.youtube.com/channel/UC5yaRAqKKYYApdr326HQnsg,Steven Universe
UC6107grRI4m0o2-emgoDnAA,http://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay
UC62SxUuzcNeZ0k0osHtMiEw,http://www.youtube.com/channel/UC62SxUuzcNeZ0k0osHtMiEw,dekuNukem
UC64UiPJwM_e9AqAd7RiD7JA,http://www.youtube.com/channel/UC64UiPJwM_e9AqAd7RiD7JA,Today I Found Out
UC67f2Qf7FYhtoUIF4Sf29cA,http://www.youtube.com/channel/UC67f2Qf7FYhtoUIF4Sf29cA,Bad Lip Reading
UC67gfx2Fg7K2NSHqoENVgwA,http://www.youtube.com/channel/UC67gfx2Fg7K2NSHqoENVgwA,Tom Stanton
UC68DIXWCmetC8N5J_Kc5gjQ,http://www.youtube.com/channel/UC68DIXWCmetC8N5J_Kc5gjQ,Don't Subscribe
UC6E2mP01ZLH_kbAyeazCNdg,http://www.youtube.com/channel/UC6E2mP01ZLH_kbAyeazCNdg,Brave Wilderness
UC6OUstIo-qXiJzcsJ0toz-A,http://www.youtube.com/channel/UC6OUstIo-qXiJzcsJ0toz-A,Misfits Podcast
UC6STTjHxnSXp-r8NPQIutAQ,http://www.youtube.com/channel/UC6STTjHxnSXp-r8NPQIutAQ,Grind This Game
UC6UuUfiNBiTlNTTvsaWvrsg,http://www.youtube.com/channel/UC6UuUfiNBiTlNTTvsaWvrsg,Straydog
UC6YtncLGAUD-AVqAAL1k-WQ,http://www.youtube.com/channel/UC6YtncLGAUD-AVqAAL1k-WQ,ponyphonic
UC6hvh0itmH0on8PNEDhf4cw,http://www.youtube.com/channel/UC6hvh0itmH0on8PNEDhf4cw,Márton Fáy
UC6k-gn9VICNXUusw5_mS0wQ,http://www.youtube.com/channel/UC6k-gn9VICNXUusw5_mS0wQ,Coconut Brah
UC6k_GngLDtxbkUlZOq6_h5g,http://www.youtube.com/channel/UC6k_GngLDtxbkUlZOq6_h5g,The McElroy Family
UC6nHSpckOIcVmMfl_878Vuw,http://www.youtube.com/channel/UC6nHSpckOIcVmMfl_878Vuw,AWOLNATION
UC6nSFpj9HTCZ5t-N3Rm3-HA,http://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce
UC6nZlvfz4YWoBWbjiaYJA3g,http://www.youtube.com/channel/UC6nZlvfz4YWoBWbjiaYJA3g,Louis Rossmann: RANDOM LIVE
UC6rh8LB2fg1BB2qq6u5Zm6Q,http://www.youtube.com/channel/UC6rh8LB2fg1BB2qq6u5Zm6Q,RagePlaysGames
UC6sWKVFVfuyTk0FTPY4c62Q,http://www.youtube.com/channel/UC6sWKVFVfuyTk0FTPY4c62Q,TheSpanglerEffect
UC6uobbmeBMBbbAk694LdWUA,http://www.youtube.com/channel/UC6uobbmeBMBbbAk694LdWUA,TheNightcoreWitcher
UC6yzV_xgKn8r77FkcmZyMSg,http://www.youtube.com/channel/UC6yzV_xgKn8r77FkcmZyMSg,PlayStation Access
UC75HVYVE-wYHGQlc4w3-GGw,http://www.youtube.com/channel/UC75HVYVE-wYHGQlc4w3-GGw,Dara Hoffman-Fox
UC7A_dLnSAjl7uROCdoNyjzg,http://www.youtube.com/channel/UC7A_dLnSAjl7uROCdoNyjzg,Hat Films
UC7FldPQ7aT7Slikg7tZc30g,http://www.youtube.com/channel/UC7FldPQ7aT7Slikg7tZc30g,Mitten Squad
UC7RGwnsSAEClqqxJ9MxUhyQ,http://www.youtube.com/channel/UC7RGwnsSAEClqqxJ9MxUhyQ,Lucas
UC7ZM7vzd0_juc6Nok2i9How,http://www.youtube.com/channel/UC7ZM7vzd0_juc6Nok2i9How,ButchClancyDubstep
UC7_YxT-KID8kRbqZo7MyscQ,http://www.youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ,Markiplier
UC7cUyDEbLaq3hNf2t4IVL8A,http://www.youtube.com/channel/UC7cUyDEbLaq3hNf2t4IVL8A,Glermz
UC7lObFRyZgoZcMYHHqxi9lg,http://www.youtube.com/channel/UC7lObFRyZgoZcMYHHqxi9lg,Brizzy Voices
UC7mFkx1Um4KJZKkUHsSV1uA,http://www.youtube.com/channel/UC7mFkx1Um4KJZKkUHsSV1uA,ShoddyCast
UC7pp40MU_6rLK5pvJYG3d0Q,http://www.youtube.com/channel/UC7pp40MU_6rLK5pvJYG3d0Q,Ethan and Hila
UC7qn3NBI3XV7d8I3cvZeABw,http://www.youtube.com/channel/UC7qn3NBI3XV7d8I3cvZeABw,Red Bull Records
UC7vnNBIll_iWj31Yx55Ko2A,http://www.youtube.com/channel/UC7vnNBIll_iWj31Yx55Ko2A,jayuzumi
UC7yF9tV4xWEMZkel7q8La_w,http://www.youtube.com/channel/UC7yF9tV4xWEMZkel7q8La_w,PeterSripol
UC81hVmI5eEBIt3s3HQpJd_w,http://www.youtube.com/channel/UC81hVmI5eEBIt3s3HQpJd_w,boburnham
UC87Lmdi6Mjkuj8o2KgWRjoA,http://www.youtube.com/channel/UC87Lmdi6Mjkuj8o2KgWRjoA,TheNamelessMapler
UC8CbFnDTYkiVweaz8y9wd_Q,http://www.youtube.com/channel/UC8CbFnDTYkiVweaz8y9wd_Q,Star Wars Theory
UC8CsGpP6kVNrWeBVmlJ2UyA,http://www.youtube.com/channel/UC8CsGpP6kVNrWeBVmlJ2UyA,Huggbees
UC8DRt1roPwZMKMC7Gma66Pg,http://www.youtube.com/channel/UC8DRt1roPwZMKMC7Gma66Pg,Primitive Survival Life
UC8JDIEFbQejP-meo1OwI0DA,http://www.youtube.com/channel/UC8JDIEFbQejP-meo1OwI0DA,MultiplicityAndMe
UC8JE00xTMBOqKs7o0grFTfQ,http://www.youtube.com/channel/UC8JE00xTMBOqKs7o0grFTfQ,Poppy
UC8JfkMtNAp44vmzdtnL4wow,http://www.youtube.com/channel/UC8JfkMtNAp44vmzdtnL4wow,SCP Explained - Story & Animation
UC8LXAtHlHcgWCuz46XehDIQ,http://www.youtube.com/channel/UC8LXAtHlHcgWCuz46XehDIQ,TheMonggrel
UC8QNOIOoi63U0arTgU47vEQ,http://www.youtube.com/channel/UC8QNOIOoi63U0arTgU47vEQ,DR Z PHD
UC8THb_fnOptyVgpi3xuCd-A,http://www.youtube.com/channel/UC8THb_fnOptyVgpi3xuCd-A,LeeandLie (AmaLee)
UC8iVuEUisbubpH9z5p0eUsg,http://www.youtube.com/channel/UC8iVuEUisbubpH9z5p0eUsg,Butch Hartman
UC8rVJyj4zE0S9-sccMLifIA,http://www.youtube.com/channel/UC8rVJyj4zE0S9-sccMLifIA,Lil Dicky
UC8uT9cgJorJPWu7ITLGo9Ww,http://www.youtube.com/channel/UC8uT9cgJorJPWu7ITLGo9Ww,The 8-Bit Guy
UC90ThxjTNaHaqyPVtfyZ4hw,http://www.youtube.com/channel/UC90ThxjTNaHaqyPVtfyZ4hw,Strippin
UC94Z4HZJkhPm94YPH1GE3bw,http://www.youtube.com/channel/UC94Z4HZJkhPm94YPH1GE3bw,EileMonty
UC9BYlkLLpI_pMkeukIaZF4A,http://www.youtube.com/channel/UC9BYlkLLpI_pMkeukIaZF4A,Clean Food Living
